Date,Location,Received_Calls,Number_of_Errors,Customers_Served,Average_Spend_per_Customer,Employee_Satisfaction_Rate,Store_Health,Store_ID
2021-07-30 03:14:05.074844,Mall,12,5,209,19.44,3,Unhealthy,31
2021-07-31 03:14:05.074844,Mall,7,1,204,13.84,4,Healthy,19
2021-08-01 03:14:05.074844,University,6,3,172,12.07,4,Unhealthy,20
2021-08-02 03:14:05.074844,Suburban,10,1,197,13.6,4,Healthy,87
2021-08-03 03:14:05.074844,University,15,0,222,18.92,4,Healthy,27
2021-08-04 03:14:05.074844,Mall,11,1,205,17.43,3,Healthy,94
2021-08-05 03:14:05.074844,Downtown,6,4,164,9.84,4,Healthy,85
2021-08-06 03:14:05.074844,Suburban,10,3,190,8.56,4,Unhealthy,44
2021-08-07 03:14:05.074844,Downtown,7,3,231,8.94,3,Healthy,35
2021-08-08 03:14:05.074844,Downtown,11,5,214,12.57,3,Unhealthy,71
2021-08-09 03:14:05.074844,Suburban,13,1,201,16.16,1,Unhealthy,22
2021-08-10 03:14:05.074844,University,10,4,227,12.55,4,Unhealthy,74
2021-08-11 03:14:05.074844,Downtown,9,1,207,6.02,3,Unhealthy,87
2021-08-12 03:14:05.074844,Mall,6,1,201,15.85,4,Healthy,15
2021-08-13 03:14:05.074844,Downtown,9,1,201,17.09,3,Unhealthy,94
2021-08-14 03:14:05.074844,Suburban,11,0,204,9.34,5,Healthy,98
2021-08-15 03:14:05.074844,Suburban,12,1,205,14.96,3,Unhealthy,13
2021-08-16 03:14:05.074844,Suburban,7,4,186,11.4,3,Unhealthy,4
2021-08-17 03:14:05.074844,University,13,2,232,18.34,4,Unhealthy,82
2021-08-18 03:14:05.074844,Downtown,11,1,197,17.68,4,Healthy,56
2021-08-19 03:14:05.074844,University,5,1,204,12.88,3,Healthy,23
2021-08-20 03:14:05.074844,University,14,1,196,15.37,3,Healthy,97
2021-08-21 03:14:05.074844,Suburban,12,2,240,18.25,3,Healthy,98
2021-08-22 03:14:05.074844,Suburban,8,2,195,12.44,4,Healthy,34
2021-08-23 03:14:05.074844,University,7,0,188,9.7,4,Unhealthy,100
2021-08-24 03:14:05.074844,Downtown,7,2,186,16.3,4,Healthy,99
2021-08-25 03:14:05.074844,Mall,9,1,199,8.3,4,Unhealthy,17
2021-08-26 03:14:05.074844,University,13,2,176,10.83,4,Unhealthy,28
2021-08-27 03:14:05.074844,Downtown,7,2,217,17.99,2,Unhealthy,14
2021-08-28 03:14:05.074844,Suburban,11,0,216,15.87,5,Healthy,34
2021-08-29 03:14:05.074844,Suburban,11,2,200,11.06,4,Healthy,75
2021-08-30 03:14:05.074844,Downtown,10,0,216,8.22,3,Healthy,57
2021-08-31 03:14:05.074844,Mall,13,3,188,10.34,3,Healthy,77
2021-09-01 03:14:05.074844,Suburban,14,4,213,9.26,2,Unhealthy,97
2021-09-02 03:14:05.074844,Suburban,9,4,194,7.64,2,Healthy,55
2021-09-03 03:14:05.074844,Suburban,8,3,202,16.15,4,Unhealthy,66
2021-09-04 03:14:05.074844,Downtown,11,3,225,8.78,4,Unhealthy,98
2021-09-05 03:14:05.074844,University,6,2,175,11.81,4,Unhealthy,93
2021-09-06 03:14:05.074844,Suburban,5,0,207,10.79,4,Healthy,37
2021-09-07 03:14:05.074844,University,8,2,198,19.73,4,Healthy,68
2021-09-08 03:14:05.074844,Mall,11,3,186,10.87,4,Unhealthy,76
2021-09-09 03:14:05.074844,Suburban,7,1,241,6.2,1,Healthy,26
2021-09-10 03:14:05.074844,Suburban,14,2,200,6.35,3,Healthy,61
2021-09-11 03:14:05.074844,Mall,11,1,202,13.86,4,Healthy,92
2021-09-12 03:14:05.074844,Suburban,9,1,183,13.99,1,Healthy,67
2021-09-13 03:14:05.074844,University,10,2,193,11.28,1,Unhealthy,84
2021-09-14 03:14:05.074844,Downtown,5,3,203,11.48,5,Healthy,74
2021-09-15 03:14:05.074844,University,7,2,211,5.81,4,Unhealthy,52
2021-09-16 03:14:05.074844,Downtown,8,0,194,12.75,3,Healthy,18
2021-09-17 03:14:05.074844,Downtown,12,3,189,12.57,4,Unhealthy,53
2021-09-18 03:14:05.074844,University,11,2,185,7.24,4,Unhealthy,63
2021-09-19 03:14:05.074844,University,12,2,183,6.56,3,Unhealthy,53
2021-09-20 03:14:05.074844,University,11,0,208,6.85,1,Healthy,27
2021-09-21 03:14:05.074844,University,10,4,195,6.52,5,Healthy,31
2021-09-22 03:14:05.074844,Mall,8,2,202,14.15,3,Healthy,91
2021-09-23 03:14:05.074844,Suburban,5,2,175,7.95,2,Unhealthy,1
2021-09-24 03:14:05.074844,Downtown,12,1,175,8.77,4,Unhealthy,6
2021-09-25 03:14:05.074844,University,12,2,224,7.6,4,Unhealthy,11
2021-09-26 03:14:05.074844,University,13,2,195,19.37,3,Healthy,34
2021-09-27 03:14:05.074844,University,8,2,219,17.82,3,Unhealthy,84
2021-09-28 03:14:05.074844,Mall,9,4,210,8.46,3,Healthy,63
2021-09-29 03:14:05.074844,University,15,0,207,9.91,5,Unhealthy,53
2021-09-30 03:14:05.074844,University,17,1,199,8.15,3,Healthy,85
2021-10-01 03:14:05.074844,University,7,4,186,12.38,4,Unhealthy,85
2021-10-02 03:14:05.074844,Suburban,14,0,198,5.29,5,Healthy,18
2021-10-03 03:14:05.074844,Mall,13,0,195,15.07,2,Healthy,21
2021-10-04 03:14:05.074844,University,7,3,211,12.85,5,Unhealthy,19
2021-10-05 03:14:05.074844,Downtown,16,0,180,18.48,5,Healthy,4
2021-10-06 03:14:05.074844,Downtown,7,1,224,7.47,5,Unhealthy,77
2021-10-07 03:14:05.074844,Downtown,15,0,201,17.06,3,Unhealthy,82
2021-10-08 03:14:05.074844,Mall,12,1,194,16.88,4,Unhealthy,29
2021-10-09 03:14:05.074844,Mall,16,2,201,6.91,4,Healthy,25
2021-10-10 03:14:05.074844,Downtown,8,2,181,10.98,5,Healthy,56
2021-10-11 03:14:05.074844,University,7,1,228,7.55,3,Unhealthy,77
2021-10-12 03:14:05.074844,Mall,8,2,218,8.82,4,Healthy,63
2021-10-13 03:14:05.074844,Downtown,4,3,189,8.95,3,Unhealthy,27
2021-10-14 03:14:05.074844,Downtown,10,0,179,13.34,3,Healthy,60
2021-10-15 03:14:05.074844,University,8,3,186,11.17,3,Healthy,83
2021-10-16 03:14:05.074844,Suburban,14,1,200,19.22,4,Healthy,49
2021-10-17 03:14:05.074844,Mall,7,4,180,6.9,4,Healthy,65
2021-10-18 03:14:05.074844,University,14,5,199,19.61,4,Healthy,38
2021-10-19 03:14:05.074844,Downtown,14,1,215,8.46,5,Unhealthy,83
2021-10-20 03:14:05.074844,Downtown,16,1,214,16.59,3,Unhealthy,52
2021-10-21 03:14:05.074844,University,13,4,202,10.08,4,Healthy,1
2021-10-22 03:14:05.074844,Mall,10,1,196,7.15,3,Unhealthy,40
2021-10-23 03:14:05.074844,Suburban,13,1,207,17.87,3,Unhealthy,81
2021-10-24 03:14:05.074844,Suburban,9,3,206,9.63,4,Unhealthy,21
2021-10-25 03:14:05.074844,Downtown,7,2,222,14.88,5,Unhealthy,86
2021-10-26 03:14:05.074844,Mall,8,0,176,13.5,4,Unhealthy,15
2021-10-27 03:14:05.074844,Suburban,8,1,211,12.08,4,Healthy,50
2021-10-28 03:14:05.074844,Mall,2,2,200,12.44,2,Healthy,48
2021-10-29 03:14:05.074844,Mall,9,1,190,15.98,3,Healthy,32
2021-10-30 03:14:05.074844,Downtown,13,4,221,6.32,4,Unhealthy,49
2021-10-31 03:14:05.074844,Suburban,9,3,208,15.02,1,Healthy,68
2021-11-01 03:14:05.074844,University,17,0,177,18.44,3,Unhealthy,45
2021-11-02 03:14:05.074844,Downtown,11,2,192,5.87,4,Healthy,32
2021-11-03 03:14:05.074844,Suburban,16,4,189,7.11,1,Unhealthy,4
2021-11-04 03:14:05.074844,Suburban,11,2,189,15.75,3,Healthy,65
2021-11-05 03:14:05.074844,Suburban,7,1,182,11.56,4,Healthy,97
2021-11-06 03:14:05.074844,Suburban,7,2,203,11.05,4,Healthy,71
2021-11-07 03:14:05.074844,Suburban,13,2,194,7.05,5,Healthy,73
2021-11-08 03:14:05.074844,Mall,9,2,221,12.6,4,Healthy,65
2021-11-09 03:14:05.074844,Downtown,12,1,193,6.9,3,Unhealthy,80
2021-11-10 03:14:05.074844,Mall,13,0,183,12.15,5,Healthy,18
2021-11-11 03:14:05.074844,University,7,3,194,16.45,4,Healthy,54
2021-11-12 03:14:05.074844,Suburban,11,6,189,8.87,3,Unhealthy,47
2021-11-13 03:14:05.074844,Downtown,8,1,182,12.21,2,Healthy,6
2021-11-14 03:14:05.074844,Suburban,11,2,205,19.88,4,Unhealthy,66
2021-11-15 03:14:05.074844,Downtown,5,2,202,15.3,4,Unhealthy,9
2021-11-16 03:14:05.074844,Mall,9,2,206,17.62,4,Healthy,68
2021-11-17 03:14:05.074844,Downtown,12,2,218,11.22,4,Healthy,23
2021-11-18 03:14:05.074844,University,5,2,208,16.52,4,Healthy,43
2021-11-19 03:14:05.074844,University,12,1,195,5.61,5,Unhealthy,51
2021-11-20 03:14:05.074844,Downtown,14,4,202,6.84,4,Unhealthy,72
2021-11-21 03:14:05.074844,Downtown,10,3,213,8.05,2,Unhealthy,25
2021-11-22 03:14:05.074844,Downtown,13,0,207,11.03,4,Unhealthy,80
2021-11-23 03:14:05.074844,Downtown,12,2,202,17.69,3,Healthy,35
2021-11-24 03:14:05.074844,University,8,2,207,10.19,4,Unhealthy,17
2021-11-25 03:14:05.074844,Suburban,13,3,214,14.82,5,Unhealthy,18
2021-11-26 03:14:05.074844,Downtown,12,1,203,15.64,4,Unhealthy,27
2021-11-27 03:14:05.074844,Downtown,11,2,195,13.79,4,Unhealthy,15
2021-11-28 03:14:05.074844,University,14,0,198,10.36,4,Unhealthy,81
2021-11-29 03:14:05.074844,University,13,3,226,13.66,3,Healthy,69
2021-11-30 03:14:05.074844,Mall,8,3,207,10.13,3,Healthy,80
2021-12-01 03:14:05.074844,Downtown,14,2,178,6.26,4,Healthy,15
2021-12-02 03:14:05.074844,Mall,11,0,209,19.89,4,Healthy,42
2021-12-03 03:14:05.074844,University,11,3,217,6.91,4,Unhealthy,34
2021-12-04 03:14:05.074844,University,13,2,177,6.09,3,Healthy,48
2021-12-05 03:14:05.074844,Suburban,13,4,188,18.18,4,Unhealthy,83
2021-12-06 03:14:05.074844,Downtown,18,1,212,9.53,4,Unhealthy,8
2021-12-07 03:14:05.074844,Mall,12,3,215,14.75,4,Healthy,10
2021-12-08 03:14:05.074844,University,8,2,204,9.94,4,Unhealthy,5
2021-12-09 03:14:05.074844,University,4,4,193,10.87,4,Unhealthy,48
2021-12-10 03:14:05.074844,Mall,8,0,198,8.93,4,Unhealthy,26
2021-12-11 03:14:05.074844,Suburban,12,2,227,10.15,3,Healthy,86
2021-12-12 03:14:05.074844,University,13,1,184,11.16,5,Healthy,23
2021-12-13 03:14:05.074844,Downtown,10,1,230,15.81,3,Healthy,62
2021-12-14 03:14:05.074844,University,12,1,185,12.67,5,Healthy,13
2021-12-15 03:14:05.074844,Downtown,9,0,203,19.15,2,Unhealthy,9
2021-12-16 03:14:05.074844,Mall,12,1,207,5.63,1,Unhealthy,20
2021-12-17 03:14:05.074844,Downtown,5,2,191,12.55,5,Unhealthy,92
2021-12-18 03:14:05.074844,Mall,11,3,192,13.76,3,Unhealthy,57
2021-12-19 03:14:05.074844,Downtown,17,5,216,18.8,4,Unhealthy,24
2021-12-20 03:14:05.074844,Mall,9,3,191,5.74,4,Healthy,33
2021-12-21 03:14:05.074844,Downtown,9,2,184,13.6,5,Unhealthy,20
2021-12-22 03:14:05.074844,Suburban,15,4,219,17.8,5,Healthy,60
2021-12-23 03:14:05.074844,Downtown,7,3,180,8.63,3,Unhealthy,48
2021-12-24 03:14:05.074844,Downtown,11,2,206,18.14,4,Healthy,64
2021-12-25 03:14:05.074844,Suburban,14,1,197,5.29,2,Healthy,30
2021-12-26 03:14:05.074844,University,19,1,210,15.99,3,Unhealthy,73
2021-12-27 03:14:05.074844,University,13,4,194,19.0,4,Unhealthy,17
2021-12-28 03:14:05.074844,Downtown,6,5,200,14.86,3,Unhealthy,100
2021-12-29 03:14:05.074844,Suburban,15,1,210,11.59,4,Unhealthy,14
2021-12-30 03:14:05.074844,Downtown,13,3,228,5.67,4,Healthy,19
2021-12-31 03:14:05.074844,Mall,5,2,217,18.8,4,Unhealthy,71
2022-01-01 03:14:05.074844,Mall,12,1,215,12.05,5,Healthy,59
2022-01-02 03:14:05.074844,Downtown,7,2,196,5.43,2,Unhealthy,67
2022-01-03 03:14:05.074844,University,4,1,199,15.35,4,Unhealthy,97
2022-01-04 03:14:05.074844,University,8,2,237,12.23,5,Healthy,44
2022-01-05 03:14:05.074844,Downtown,8,1,178,6.87,4,Unhealthy,32
